"4" ,999999 ,"Election Total" ,"Race Statistics" ,"" ,"NP" ,"Number of Precincts" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"VOROS" ,"305250" ,"NP" ,"NO" ,"305251" ,"NP" ,1061 ,
"4" ,999999 ,"Election Total" ,"MANLEY" ,"306950" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"MANLEY" ,"306950" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"MANLEY" ,"306950" ,"NP" ,"Registered Voters" ,"" ,"NP" ,11441 ,
"4" ,999999 ,"Election Total" ,"MANLEY" ,"306950" ,"NP" ,"YES" ,"306952" ,"NP" ,4242 ,
"4" ,999999 ,"Election Total" ,"MANLEY" ,"306950" ,"NP" ,"NO" ,"306951" ,"NP" ,956 ,
"4" ,999999 ,"Election Total" ,"JOHANSEN" ,"307000" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"JOHANSEN" ,"307000" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"JOHANSEN" ,"307000" ,"NP" ,"Registered Voters" ,"" ,"NP" ,11441 ,
"4" ,999999 ,"Election Total" ,"JOHANSEN" ,"307000" ,"NP" ,"YES" ,"307002" ,"NP" ,4132 ,
"4" ,999999 ,"Election Total" ,"JOHANSEN" ,"307000" ,"NP" ,"NO" ,"307001" ,"NP" ,1209 ,
"4" ,999999 ,"Election Total" ,"ANDERSON" ,"306900" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"ANDERSON" ,"306900" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"ANDERSON" ,"306900" ,"NP" ,"Registered Voters" ,"" ,"NP" ,11441 ,
"4" ,999999 ,"Election Total" ,"ANDERSON" ,"306900" ,"NP" ,"YES" ,"306902" ,"NP" ,4165 ,
"4" ,999999 ,"Election Total" ,"ANDERSON" ,"306900" ,"NP" ,"NO" ,"306901" ,"NP" ,985 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT A" ,"307100" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT A" ,"307100" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT A" ,"307100" ,"NP" ,"Registered Voters" ,"" ,"NP" ,11441 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT A" ,"307100" ,"NP" ,"For" ,"307102" ,"NP" ,2280 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT A" ,"307100" ,"NP" ,"Against" ,"307101" ,"NP" ,3049 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT B" ,"307150" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT B" ,"307150" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT B" ,"307150" ,"NP" ,"Registered Voters" ,"" ,"NP" ,11441 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT B" ,"307150" ,"NP" ,"For" ,"307152" ,"NP" ,3089 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT B" ,"307150" ,"NP" ,"Against" ,"307151" ,"NP" ,2301 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT C" ,"307200" ,"NP" ,"Number of Precincts for Race" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT C" ,"307200" ,"NP" ,"Number of Precincts Reporting" ,"" ,"NP" ,24 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT C" ,"307200" ,"NP" ,"Registered Voters" ,"" ,"NP" ,11441 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT C" ,"307200" ,"NP" ,"For" ,"307202" ,"NP" ,2158 ,
"4" ,999999 ,"Election Total" ,"AMENDMENT C" ,"307200" ,"NP" ,"Against" ,"307201" ,"NP" ,3245 ,
